,Type,Bin center (m),Mean MP particles pr. litre,Std MP particles pr. litre,Min value pr. litre,Max value pr. litre,Data count
0,Water,2.5,3.5667891682785307,4.184961348561078,0.0,11.85,1
1,Water,7.5,2.6969926716060204,3.0554880520900944,0.31088082901554404,7.01,1
2,Water,12.5,0.9080153525061379,1.2937572644859827,0.0,3.0100000000000002,1
3,Water,17.5,0.5380893150797977,0.42696938365449927,0.2185792349726776,1.0230179028132993,1
4,Water,22.5,,,,,1
5,Water,27.5,0.15000000000000002,0.07071067811865477,0.1,0.2,1
6,Water,32.5,0.17777777777777778,0.2795499027868694,0.0,0.5,1
7,Water,37.5,,,,,1
8,Water,42.5,0.07500000000000001,0.09574271077563382,0.0,0.2,1
9,Water,47.5,0.1,,0.1,0.1,1
10,Bottom,,5.925000000000001,3.7214822315846146,0.2,10.72,6
11,Sediment,0.0125,634.7414656833154,373.1570824157192,253.584905660377,1368.8701852451957,1
12,Sediment,0.037500000000000006,478.3568408220815,843.2050556500029,0.0,6502.796862912629,1
13,Sediment,0.0625,970.1680149695655,2097.8699407700724,0.0,6502.472824429677,1
14,Sediment,0.08750000000000001,2343.5408338909124,3095.8916166998297,403.6676099888122,7979.833305622891,1
15,Sediment,0.1125,1420.2905042168202,1904.1483869925537,34.23168117344494,4540.156615312363,1
16,Sediment,0.1375,1237.2282190132125,2066.7550756716723,96.027547102079,5745.454682256456,1
17,Sediment,0.16250000000000003,1026.581643277907,1343.8605913465856,76.3287061673725,1976.8345803884415,1
18,Sediment,0.1875,299.62609220263096,183.0480718660578,170.19155930301898,429.0606251022429,1
19,Sediment,0.21250000000000002,681.4776292062617,554.4218370832481,289.4421885667937,1073.5130698457297,1
20,Sediment,0.2375,458.20696863375105,648.0025094157141,0.0,916.4139372675021,1
21,Sediment,0.2625,422.2530388157952,255.36880423717625,213.3838579599437,706.9470954139597,1
22,Sediment,0.28750000000000003,0.0,,0.0,0.0,1
23,Sediment,0.3125,640.1515738798312,,640.1515738798312,640.1515738798312,1
24,Sediment,0.3375,0.0,0.0,0.0,0.0,1
25,Sediment,0.36250000000000004,0.0,,0.0,0.0,1
26,Sediment,0.3875,63.55031042845192,,63.55031042845192,63.55031042845192,1
27,Sediment,0.41250000000000003,187.55853823063677,,187.55853823063677,187.55853823063677,1
28,Sediment,0.4375,0.0,,0.0,0.0,1
29,Sediment,0.4625,0.0,0.0,0.0,0.0,1
30,Sediment,0.48750000000000004,30.846954308574094,,30.846954308574094,30.846954308574094,1
31,Sediment,0.5125,0.0,,0.0,0.0,1
32,Sediment,0.5375000000000001,30.516169700062356,,30.516169700062356,30.516169700062356,1
33,Sediment,0.5625,0.0,0.0,0.0,0.0,1
34,Sediment,0.5875000000000001,0.0,,0.0,0.0,1
35,Sediment,0.6125,17.81769496827207,,17.81769496827207,17.81769496827207,1
